legacy_fact_id,technical_topic,concise_factual_claim,classification,classification_reason,short_engineering_explanation,application_limitations_or_context,appropriate_destination_page,supporting_source,last_reviewed_date,human_technical_review_required,approved_for_publication
LEGACY-0018,Die-Wall Friction,Die-Wall Friction must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0019,Tablet Sidewall Marks,Tablet Sidewall Marks must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0020,Binding,Binding must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0021,Lubrication,Lubrication must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0022,Cleaning Chemistry,Cleaning Chemistry must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0023,Abrasive Cleaning,Abrasive Cleaning must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0024,Drying,Drying must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0025,Storage Humidity,Storage Humidity must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0026,Protective Packaging,Protective Packaging must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0027,Handling Damage,Handling Damage must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0028,Installation Damage,Installation Damage must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0029,Press Alignment,Press Alignment must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0030,Station Mapping,Station Mapping must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0031,Coated Dies,Coated Dies must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0032,Coating Damage,Coating Damage must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0033,Polishing Limits,Polishing Limits must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0034,Restoration Feasibility,Restoration Feasibility must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0035,Replacement Criteria,Replacement Criteria must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0036,Production-Volume Tracking,Production-Volume Tracking must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0037,Abrasive Formulations,Abrasive Formulations must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0038,Corrosive Formulations,Corrosive Formulations must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0039,Maintenance Intervals,Maintenance Intervals must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0040,Good-Die Comparison,Good-Die Comparison must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0041,Before-And-After Photography,Before-And-After Photography must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0042,Inspection Reports,Inspection Reports must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0043,International Shipping,International Shipping must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0044,Return-To-Service Approval,Return-To-Service Approval must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0045,Lifecycle Management,Lifecycle Management must be evaluated in context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/die-maintenance.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0046,Microfinish™ is an engineered surface-refinement approach.,Microfinish™ is an engineered surface-refinement approach.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0047,Microfinish™ is not simply polishing.,Microfinish™ is not simply polishing.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0048,Application review comes before surface refinement.,Application review comes before surface refinement.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0049,Critical geometry must be protected.,Critical geometry must be protected.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0050,Localized defects can drive the process.,Localized defects can drive the process.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0051,Microfinish™ may support tablet release.,Microfinish™ may support tablet release.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0052,Microfinish™ cannot correct unstable moisture.,Microfinish™ cannot correct unstable moisture.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0053,Microfinish™ cannot correct excessive binder tackiness.,Microfinish™ cannot correct excessive binder tackiness.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0054,Microfinish™ cannot repair cracks.,Microfinish™ cannot repair cracks.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0055,Microfinish™ performance should be documented.,Microfinish™ performance should be documented.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0056,Surface roughness should be measured with context.,Surface roughness should be measured with context.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0057,The lowest Ra is not always the best target.,The lowest Ra is not always the best target.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0058,Directionality can influence performance.,Directionality can influence performance.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0059,Engraving requires special protection.,Engraving requires special protection.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0060,Deep cups require controlled access.,Deep cups require controlled access.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0061,Edges and lands require preservation.,Edges and lands require preservation.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0062,Microfinish™ may improve cleanability.,Microfinish™ may improve cleanability.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0063,Cleaning compatibility remains important.,Cleaning compatibility remains important.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0064,Substrate material influences results.,Substrate material influences results.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0065,Coated tooling requires a different route.,Coated tooling requires a different route.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0066,Recoating should follow substrate approval.,Recoating should follow substrate approval.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0067,Microfinish™ may be organized into performance levels.,Microfinish™ may be organized into performance levels.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0068,Performance levels should not be marketing labels alone.,Performance levels should not be marketing labels alone.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0069,Standard applications still require inspection.,Standard applications still require inspection.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0070,High-speed applications increase wear and heat concerns.,High-speed applications increase wear and heat concerns.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0071,Adhesive products require system review.,Adhesive products require system review.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0072,Corrosive products require chemistry review.,Corrosive products require chemistry review.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0073,Extreme applications need stricter acceptance criteria.,Extreme applications need stricter acceptance criteria.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0074,Before-and-after photographs improve transparency.,Before-and-after photographs improve transparency.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0075,Dimensional records protect repeated service cycles.,Dimensional records protect repeated service cycles.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0076,Surface appearance should not be the only release criterion.,Surface appearance should not be the only release criterion.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0077,Microfinish™ may reduce picking when local roughness contributes.,Microfinish™ may reduce picking when local roughness contributes.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0078,Microfinish™ may reduce sticking when broad surface damage contributes.,Microfinish™ may reduce sticking when broad surface damage contributes.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0079,Microfinish™ may extend service life in suitable cases.,Microfinish™ may extend service life in suitable cases.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0080,Microfinish™ should include final cleaning.,Microfinish™ should include final cleaning.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0081,Packaging protects the finished surface.,Packaging protects the finished surface.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0082,Production trials should confirm performance.,Production trials should confirm performance.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0083,A baseline is needed for comparison.,A baseline is needed for comparison.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0084,Failure review improves future processing.,Failure review improves future processing.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0085,Microfinish™ and coating are separate decisions.,Microfinish™ and coating are separate decisions.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0086,Coating thickness must be included in geometry planning.,Coating thickness must be included in geometry planning.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0087,International projects require clear terminology.,International projects require clear terminology.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
LEGACY-0088,Technical claims should remain supportable.,Technical claims should remain supportable.,Generic filler,"The card substitutes a topic label into a repeated template; it does not state a discrete, source-supported engineering fact.",Rejected during recovery audit; not approved for publication.,"A page-specific, source-supported claim would be required.",services/microfinish-surface-engineering.html,No source supplied in legacy card,2026-08-07,Yes,No
