unique_fact_id,technical_topic,concise_factual_claim,short_engineering_explanation,application_limitations_or_context,appropriate_destination_page,supporting_source,source_citation,last_reviewed_date,human_technical_review_required,approval_status
PGE-CGMP-0013,Design and construction features,"Holding rejected components, drug product containers, closures, and labeling before disposition;",Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(2) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(2),2026-08-07,No,Approved for batch 1
PGE-CGMP-0014,Sanitation,"Drug-manufacturing buildings must be kept clean, sanitary, free from vermin, and supported by timely, sanitary waste disposal.",Engineering implication: implementation evidence should address sanitation.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.56(a) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.56,21 CFR § 211.56(a),2026-08-07,No,Approved for batch 1
PGE-CGMP-0015,Sewage and refuse,"Sewage, trash, and other refuse in and from the building and immediate premises must be disposed of in a safe and sanitary manner.",Engineering implication: implementation evidence should address sewage and refuse.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.50 for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.50,21 CFR § 211.50,2026-08-07,No,Approved for batch 1
PGE-CGMP-0016,Consultants,"Manufacturing consultants must be qualified for their assigned subject, and records must identify their qualifications and services.",Engineering implication: implementation evidence should address consultants.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.34 for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.34,21 CFR § 211.34,2026-08-07,No,Approved for batch 1
PGE-CGMP-0017,Personnel qualifications,"Manufacturing supervisors must have education, training, or experience sufficient to perform their assigned quality responsibilities.",Engineering implication: implementation evidence should address personnel qualifications.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.25(b) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.25,21 CFR § 211.25(b),2026-08-07,No,Approved for batch 1
PGE-CGMP-0018,Maintenance,"Any building used in the manufacture, processing, packing, or holding of a drug product must be maintained in a good state of repair.",Engineering implication: implementation evidence should address maintenance.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.58 for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.58,21 CFR § 211.58,2026-08-07,No,Approved for batch 1
PGE-CGMP-0019,Responsibilities of quality control unit,The responsibilities and procedures applicable to the quality control unit must be in writing; such written procedures must be followed.,Engineering implication: implementation evidence should address responsibilities of quality control unit.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.22(d) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.22,21 CFR § 211.22(d),2026-08-07,No,Approved for batch 1
PGE-CGMP-0020,Personnel responsibilities,Only personnel authorized by supervisory personnel must enter those areas of the buildings and facilities designated as limited-access areas.,Engineering implication: implementation evidence should address personnel responsibilities.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.28(c) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.28,21 CFR § 211.28(c),2026-08-07,No,Approved for batch 1
PGE-CGMP-0021,Design and construction features,"An air supply filtered through high-efficiency particulate air filters under positive pressure, regardless of whether flow is laminar or nonlaminar;",Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(iii) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(iii),2026-08-07,No,Approved for batch 1
PGE-CGMP-0022,"Ventilation, air filtration, air heating and cooling","Air-handling systems for the manufacture, processing, and packing of penicillin must be completely separate from those for other drug products for human use.","Engineering implication: implementation evidence should address ventilation, air filtration, air heating and cooling.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.46(d) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.46,21 CFR § 211.46(d),2026-08-07,No,Approved for batch 1
PGE-CGMP-0023,Personnel qualifications,"Operations must provide an adequate number of qualified personnel to perform and supervise the manufacture, processing, packing, or holding of each drug product.",Engineering implication: implementation evidence should address personnel qualifications.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.25(c) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.25,21 CFR § 211.25(c),2026-08-07,No,Approved for batch 1
PGE-CGMP-0024,Plumbing,"Drains must be of adequate size and, where connected directly to a sewer, must be provided with an air break or other mechanical device to prevent back-siphonage.",Engineering implication: implementation evidence should address plumbing.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.48(b) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.48,21 CFR § 211.48(b),2026-08-07,No,Approved for batch 1
PGE-CGMP-0025,Design and construction features,"Operations relating to the manufacture, processing, and packing of penicillin must be performed in facilities separate from those used for other drug products for human use.",Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(d) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(d),2026-08-07,No,Approved for batch 1
PGE-CGMP-0026,Sanitation,Sanitation procedures must apply to work performed by contractors or temporary employees as well as work performed by full-time employees during the ordinary course of operations.,Engineering implication: implementation evidence should address sanitation.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.56(d) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.56,21 CFR § 211.56(d),2026-08-07,No,Approved for batch 1
PGE-CGMP-0027,Responsibilities of quality control unit,"The quality control unit must have the responsibility for approving or rejecting all procedures or specifications impacting on the identity, strength, quality, and purity of the drug product.",Engineering implication: implementation evidence should address responsibilities of quality control unit.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.22(c) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.22,21 CFR § 211.22(c),2026-08-07,No,Approved for batch 1
PGE-CGMP-0028,Washing and toilet facilities,"Adequate washing facilities must be provided, including hot and cold water, soap or detergent, air driers or single-service towels, and clean toilet facilities easily accesible to working areas.",Engineering implication: implementation evidence should address washing and toilet facilities.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.52 for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.52,21 CFR § 211.52,2026-08-07,No,Approved for batch 1
PGE-CGMP-0029,"Ventilation, air filtration, air heating and cooling","Equipment for adequate control over air pressure, micro-organisms, dust, humidity, and temperature must be provided when appropriate for the manufacture, processing, packing, or holding of a drug product.","Engineering implication: implementation evidence should address ventilation, air filtration, air heating and cooling.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.46(b) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.46,21 CFR § 211.46(b),2026-08-07,No,Approved for batch 1
PGE-CGMP-0030,Design and construction features,"Any building or buildings used in the manufacture, processing, packing, or holding of a drug product must be of suitable size, construction and location to facilitate cleaning, maintenance, and proper operations.",Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(a) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(a),2026-08-07,No,Approved for batch 1
PGE-CGMP-0031,Responsibilities of quality control unit,"Adequate laboratory facilities for the testing and approval (or rejection) of components, drug product containers, closures, packaging materials, in-process materials, and drug products must be available to the quality control unit.",Engineering implication: implementation evidence should address responsibilities of quality control unit.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.22(b) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.22,21 CFR § 211.22(b),2026-08-07,No,Approved for batch 1
PGE-CGMP-0032,Design and construction features,"Receipt, identification, storage, and withholding from use of components, drug product containers, closures, and labeling, pending the appropriate sampling, testing, or examination by the quality control unit before release for manufacturing or packaging;",Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(1) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(1),2026-08-07,No,Approved for batch 1
PGE-CGMP-0033,Sanitation,"Operations must provide written procedures assigning responsibility for sanitation and describing in sufficient detail the cleaning schedules, methods, equipment, and materials to be used in cleaning the buildings and facilities; such written procedures must be followed.",Engineering implication: implementation evidence should address sanitation.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.56(b) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.56,21 CFR § 211.56(b),2026-08-07,No,Approved for batch 1
PGE-CGMP-0034,Design and construction features,Operations must be performed within specifically defined areas of adequate size. There must be separate or defined areas or such other control systems for the firm's operations as are necessary to prevent contamination or mixups during the course of the following procedures:,Engineering implication: implementation evidence should address design and construction features.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.42(c) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.42,21 CFR § 211.42(c),2026-08-07,No,Approved for batch 1
PGE-CGMP-0035,Personnel responsibilities,"Personnel engaged in the manufacture, processing, packing, or holding of a drug product must wear clean clothing appropriate for the duties they perform. Protective apparel, such as head, face, hand, and arm coverings, must be worn as necessary to protect drug products from contamination.",Engineering implication: implementation evidence should address personnel responsibilities.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.28(a) for the regulated product and operation.,knowledge-center/quality-facilities.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.28,21 CFR § 211.28(a),2026-08-07,No,Approved for batch 1
PGE-CGMP-0036,"Testing and approval or rejection of components, drug product containers, and closures",Samples must be examined and tested as follows:,"Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(d) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(d),2026-08-07,No,Approved for batch 1
PGE-CGMP-0037,Equipment cleaning and maintenance,Removal or obliteration of previous batch identification;,Engineering implication: implementation evidence should address equipment cleaning and maintenance.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.67(4) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.67,21 CFR § 211.67(4),2026-08-07,No,Approved for batch 1
PGE-CGMP-0038,Equipment cleaning and maintenance,Protection of clean equipment from contamination prior to use;,Engineering implication: implementation evidence should address equipment cleaning and maintenance.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.67(5) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.67,21 CFR § 211.67(5),2026-08-07,No,Approved for batch 1
PGE-CGMP-0039,"Testing and approval or rejection of components, drug product containers, and closures","When appropriate, components must be microscopically examined.","Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(4) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(4),2026-08-07,No,Approved for batch 1
PGE-CGMP-0040,Equipment cleaning and maintenance,Inspection of equipment for cleanliness immediately before use.,Engineering implication: implementation evidence should address equipment cleaning and maintenance.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.67(6) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.67,21 CFR § 211.67(6),2026-08-07,No,Approved for batch 1
PGE-CGMP-0041,Equipment cleaning and maintenance,Assignment of responsibility for cleaning and maintaining equipment;,Engineering implication: implementation evidence should address equipment cleaning and maintenance.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.67(1) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.67,21 CFR § 211.67(1),2026-08-07,No,Approved for batch 1
PGE-CGMP-0042,"Testing and approval or rejection of components, drug product containers, and closures",Samples must be collected in accordance with the following procedures:,"Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(c) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(c),2026-08-07,No,Approved for batch 1
PGE-CGMP-0043,"Testing and approval or rejection of components, drug product containers, and closures",Sterile equipment and aseptic sampling techniques must be used when necessary.,"Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(3) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(3),2026-08-07,No,Approved for batch 1
PGE-CGMP-0044,Equipment cleaning and maintenance,"Maintenance and cleaning schedules, including, where appropriate, sanitizing schedules;",Engineering implication: implementation evidence should address equipment cleaning and maintenance.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.67(2) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.67,21 CFR § 211.67(2),2026-08-07,No,Approved for batch 1
PGE-CGMP-0045,"Testing and approval or rejection of components, drug product containers, and closures",Containers from which samples have been taken must be marked to show that samples have been removed from them.,"Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(6) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(6),2026-08-07,No,Approved for batch 1
PGE-CGMP-0046,Equipment cleaning and maintenance,"Records must be kept of maintenance, cleaning, sanitizing, and inspection as specified in §§ 211.180 and 211.182.",Engineering implication: implementation evidence should address equipment cleaning and maintenance.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.67(c) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.67,21 CFR § 211.67(c),2026-08-07,No,Approved for batch 1
PGE-CGMP-0047,General requirements,Components and drug product containers and closures must at all times be handled and stored in a manner to prevent contamination.,Engineering implication: implementation evidence should address general requirements.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.80(b) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.80,21 CFR § 211.80(b),2026-08-07,No,Approved for batch 1
PGE-CGMP-0048,"Testing and approval or rejection of components, drug product containers, and closures",The containers of components selected must be cleaned when necessary in a manner to prevent introduction of contaminants into the component.,"Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(1) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(1),2026-08-07,No,Approved for batch 1
PGE-CGMP-0049,"Testing and approval or rejection of components, drug product containers, and closures","At least one test must be conducted to verify the identity of each component of a drug product. Specific identity tests, if they exist, must be used.","Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(1) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(1),2026-08-07,No,Approved for batch 1
PGE-CGMP-0050,General requirements,"Bagged or boxed components of drug product containers, or closures must be stored off the floor and suitably spaced to permit cleaning and inspection.",Engineering implication: implementation evidence should address general requirements.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.80(c) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.80,21 CFR § 211.80(c),2026-08-07,No,Approved for batch 1
PGE-CGMP-0051,"Testing and approval or rejection of components, drug product containers, and closures","If it is necessary to sample a component from the top, middle, and bottom of its container, such sample subdivisions must not be composited for testing.","Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(4) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(4),2026-08-07,No,Approved for batch 1
PGE-CGMP-0052,Drug product containers and closures,Container closure systems must provide adequate protection against foreseeable external factors in storage and use that can cause deterioration or contamination of the drug product.,Engineering implication: implementation evidence should address drug product containers and closures.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.94(b) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.94,21 CFR § 211.94(b),2026-08-07,No,Approved for batch 1
PGE-CGMP-0053,"Testing and approval or rejection of components, drug product containers, and closures","The containers must be opened, sampled, and resealed in a manner designed to prevent contamination of their contents and contamination of other components, drug product containers, or closures.","Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(2) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(2),2026-08-07,No,Approved for batch 1
PGE-CGMP-0054,"Testing and approval or rejection of components, drug product containers, and closures","Each lot of components, drug product containers, and closures must be withheld from use until the lot has been sampled, tested, or examined, as appropriate, and released for use by the quality control unit.","Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(a) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(a),2026-08-07,No,Approved for batch 1
PGE-CGMP-0055,Drug product containers and closures,"Drug product containers and closures must not be reactive, additive, or absorptive so as to alter the safety, identity, strength, quality, or purity of the drug beyond the official or established requirements.",Engineering implication: implementation evidence should address drug product containers and closures.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.94(a) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.94,21 CFR § 211.94(a),2026-08-07,No,Approved for batch 1
PGE-CGMP-0056,"Testing and approval or rejection of components, drug product containers, and closures","Each lot of a component, drug product container, or closure with potential for microbiological contamination that is objectionable in view of its intended use must be subjected to microbiological tests before use.","Engineering implication: implementation evidence should address testing and approval or rejection of components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.84(6) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.84,21 CFR § 211.84(6),2026-08-07,No,Approved for batch 1
PGE-CGMP-0057,"Rejected components, drug product containers, and closures","Rejected components, drug product containers, and closures must be identified and controlled under a quarantine system designed to prevent their use in manufacturing or processing operations for which they are unsuitable.","Engineering implication: implementation evidence should address rejected components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.89 for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.89,21 CFR § 211.89,2026-08-07,No,Approved for batch 1
PGE-CGMP-0058,Drug product containers and closures,"Standards or specifications, methods of testing, and, where indicated, methods of cleaning, sterilizing, and processing to remove pyrogenic properties must be written and followed for drug product containers and closures.",Engineering implication: implementation evidence should address drug product containers and closures.,U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.94(d) for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.94,21 CFR § 211.94(d),2026-08-07,No,Approved for batch 1
PGE-CGMP-0059,"Use of approved components, drug product containers, and closures","Components, drug product containers, and closures approved for use must be rotated so that the oldest approved stock is used first. Deviation from this requirement is permitted if such deviation is temporary and appropriate.","Engineering implication: implementation evidence should address use of approved components, drug product containers, and closures.",U.S. finished-pharmaceutical CGMP requirement; confirm the current text of 21 CFR § 211.86 for the regulated product and operation.,knowledge-center/equipment-materials.html,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-C/part-211/section-211.86,21 CFR § 211.86,2026-08-07,No,Approved for batch 1
